sample_id,model,method,MoRF,LeRF,diff,is_flipped
13,vit_base,Chefer-LRP,0.17370490059256555,0.3973295047879219,0.22362460419535635,False
13,vit_base,GradCAM,0.19594225715845823,0.3977535843849182,0.20181132722645997,False
13,vit_base,IntegratedGradients,0.2684471756219864,0.3879932969808578,0.11954612135887144,False
13,vit_base,Random,0.40240238755941393,0.42639035135507575,0.023987963795661815,False
14,mobilevit_s,GradCAM,0.2635668382048607,0.46726253926753997,0.20369570106267926,False
14,mobilevit_s,IntegratedGradients,0.12101668687537313,0.4713490799069404,0.35033239303156727,False
14,mobilevit_s,Random,0.4653122499585151,0.4664787888526917,0.0011665388941765609,False
14,resnet50,GradCAM,0.2695241697132588,0.4999773561954498,0.23045318648219099,False
14,resnet50,IntegratedGradients,0.2829496018588543,0.4999590009450912,0.2170093990862369,False
14,resnet50,LRP,0.20196584612131122,0.4999734789133072,0.29800763279199594,False
14,resnet50,Random,0.4999894261360168,0.48355862200260163,-0.01643080413341519,True
14,vit_base,Chefer-LRP,0.21518343500792983,0.38301426619291307,0.16783083118498324,False
14,vit_base,GradCAM,0.24861745275557043,0.40196684449911113,0.1533493917435407,False
14,vit_base,IntegratedGradients,0.439202307164669,0.42032080441713326,-0.01888150274753575,True
14,vit_base,Random,0.4118297636508942,0.4091101244091988,-0.002719639241695382,True
15,mobilevit_s,GradCAM,0.41029755817726254,0.4591869905591011,0.04888943238183857,False
15,mobilevit_s,IntegratedGradients,0.19969385386393695,0.46318284869194026,0.2634889948280033,False
15,mobilevit_s,Random,0.42090906233061104,0.4433003060519695,0.022391243721358478,False
15,resnet50,GradCAM,0.4714683152735233,0.49999909698963163,0.028530781716108344,False
15,resnet50,IntegratedGradients,0.494501131772995,0.49999972581863406,0.005498594045639071,False
15,resnet50,LRP,0.3085789069067687,0.4999991118907929,0.19142020498402418,False
15,resnet50,Random,0.428713707998395,0.4010445600375534,-0.027669147960841578,True
15,vit_base,Chefer-LRP,0.30183035060763364,0.4432021275162697,0.14137177690863606,False
15,vit_base,GradCAM,0.3161256648600102,0.4442474141716957,0.12812174931168552,False
15,vit_base,IntegratedGradients,0.4400997921824455,0.4364683568477631,-0.003631435334682409,True
15,vit_base,Random,0.4102825358510017,0.42179454416036605,0.01151200830936433,False
16,mobilevit_s,GradCAM,0.07248949960194295,0.4614698842167854,0.38898038461484247,False
16,mobilevit_s,IntegratedGradients,0.02476179654840962,0.4603317752480507,0.4355699786996411,False
16,mobilevit_s,Random,0.24996737791225318,0.20260777621297166,-0.04735960169928152,True
16,resnet50,GradCAM,0.09665731687546214,0.49997682869434357,0.4033195118188814,False
16,resnet50,IntegratedGradients,0.025007966273295427,0.4999469995498657,0.4749390332765703,False
16,resnet50,LRP,0.025036612461326515,0.49995042085647584,0.47491380839514935,False
16,resnet50,Random,0.12293758836260624,0.2686560729394021,0.14571848457679584,False
16,vit_base,Chefer-LRP,0.025466075001895662,0.336190177500248,0.3107241024983523,False
16,vit_base,GradCAM,0.055331039437442095,0.38327649235725403,0.3279454529198119,False
16,vit_base,IntegratedGradients,0.08923160928643484,0.2851291172206402,0.19589750793420538,False
16,vit_base,Random,0.2729993425309658,0.23952532261610038,-0.03347401991486543,True
17,mobilevit_s,GradCAM,0.07782658499199896,0.4440054208040238,0.3661788358120248,False
17,mobilevit_s,IntegratedGradients,0.15154281718132553,0.44179480820894246,0.2902519910276169,False
17,mobilevit_s,Random,0.36697346069122433,0.3017151536419988,-0.06525830704922553,True
17,resnet50,GradCAM,0.16091892579570416,0.49998858869075774,0.3390696628950536,False
17,resnet50,IntegratedGradients,0.0922091263346374,0.4999818325042724,0.407772706169635,False
17,resnet50,LRP,0.047832895349711184,0.49998646676540376,0.45215357141569257,False
17,resnet50,Random,0.31207733034389096,0.4177922898321413,0.10571495948825033,False
17,vit_base,Chefer-LRP,0.08244077902054417,0.43845933824777605,0.3560185592272319,False
17,vit_base,GradCAM,0.0741496131871827,0.4361861079931259,0.3620364948059432,False
17,vit_base,IntegratedGradients,0.4359618172049522,0.4412421405315399,0.005280323326587677,False
17,vit_base,Random,0.4401939928531647,0.41280455589294435,-0.027389436960220337,True
18,mobilevit_s,GradCAM,0.09560603944901232,0.40946862697601316,0.31386258752700086,False
18,mobilevit_s,IntegratedGradients,0.10930756977199962,0.37389348596334465,0.264585916191345,False
18,mobilevit_s,Random,0.275164906606824,0.1961859245760479,-0.07897898203077613,True
18,resnet50,GradCAM,0.1576931339368457,0.49983902275562286,0.34214588881877717,False
18,resnet50,IntegratedGradients,0.04718125106865046,0.4998704746365547,0.45268922356790425,False
18,resnet50,LRP,0.02663316770049278,0.4997143268585206,0.4730811591580278,False
18,resnet50,Random,0.11620556108828169,0.14259800213185372,0.026392441043572037,False
18,vit_base,Chefer-LRP,0.19379555671475826,0.41922415047883993,0.22542859376408167,False
18,vit_base,GradCAM,0.20199153514113277,0.41396934092044835,0.21197780577931558,False
18,vit_base,IntegratedGradients,0.3325978202745319,0.4015887871384621,0.06899096686393019,False
18,vit_base,Random,0.39895124584436414,0.3792728379368782,-0.01967840790748593,True
19,mobilevit_s,GradCAM,0.3000095140188932,0.4744929373264313,0.17448342330753808,False
19,mobilevit_s,IntegratedGradients,0.2535238237818703,0.41251036882167685,0.15898654503980653,False
19,mobilevit_s,Random,0.2520044563241754,0.2621613568444446,0.010156900520269185,False
